id,2010_Total_auto,2010_Total_carpool,2010_Total_transit,2010_Total_walked,2010_Total_bike,2010_Total_telecommute
390600,408,141,200,117,31,66
390700,883,73,1139,232,99,97
400300,224,51,180,12,24,24
400400,288,16,184,0,0,0
400500,201,58,204,48,0,13
400800,221,64,313,0,0,0
410100,246,69,349,206,84,67
410200,118,6,186,83,7,14
410500,433,122,362,215,74,49
410600,358,100,328,302,56,108
410700,247,28,199,460,118,53
410800,340,47,460,457,110,85
410900,592,66,635,205,98,45
411000,463,124,599,310,57,45
411100,232,23,158,465,72,33
411200,179,21,136,333,46,112
420100,150,10,179,36,0,6
420200,288,50,150,86,0,39
420300,220,74,207,75,18,9
420400,208,39,150,146,30,53
420500,286,34,245,4,9,29
420600,138,39,176,56,0,0
420700,199,159,288,19,14,51
420800,446,79,166,89,8,32
421200,218,66,170,0,12,21
430101,744,78,587,45,143,16
430102,617,88,480,98,70,50
430200,764,108,523,0,90,106
430300,497,93,212,0,0,25
430400,348,60,383,9,27,38
430500,475,99,586,13,25,37
430600,457,56,172,0,13,5
430700,443,93,351,20,0,180
430800,359,81,295,9,15,0
430900,246,153,161,22,26,0
431200,568,119,273,14,30,21
431301,516,31,371,49,0,53
431302,482,112,392,35,16,0
431400,1292,64,939,54,26,82
440101,613,84,545,36,0,109
440102,603,24,387,31,10,39
440201,849,53,770,32,0,0
440202,548,52,359,15,0,0
440300,1059,89,525,0,0,82
440600,468,69,222,17,0,44
440700,449,104,107,0,0,0
440800,287,84,256,38,15,11
440900,380,63,269,0,6,84
450300,803,101,256,0,44,114
460100,579,147,549,17,36,14
460200,333,101,168,0,0,19
460301,623,68,310,40,10,62
460302,438,122,249,0,50,40
460400,676,53,284,57,22,83
460500,1131,194,447,30,16,103
460600,135,81,147,26,11,0
460700,371,73,117,20,0,74
461000,111,169,178,0,0,30
470100,658,77,386,0,0,32
480100,579,17,128,0,15,6
480200,278,6,126,42,0,35
480300,227,34,213,0,0,17
480400,1472,157,410,0,16,139
480500,521,142,298,0,0,17
490300,399,32,276,29,16,41
490400,359,12,123,22,0,6
490500,507,0,194,37,0,11
490600,292,65,93,4,0,0
490700,669,89,346,0,0,7
490800,798,85,326,34,0,47
490901,767,39,375,0,0,0
490902,911,168,542,16,0,29
491000,533,105,181,31,0,7
491100,748,173,279,31,16,33
491200,464,8,139,29,0,131
491300,479,133,168,18,8,37
491400,495,113,303,50,41,53
500100,677,155,567,12,0,22
500200,253,56,93,11,0,25
500300,565,73,147,62,0,0
510100,931,198,26,63,0,75
510200,645,226,261,0,18,37
510300,1099,274,467,0,7,40
520100,343,58,184,47,0,24
520200,583,443,213,30,0,0
520300,1548,364,181,104,7,171
520400,852,383,126,63,0,0
520500,1293,405,107,94,0,51
520600,783,169,39,9,0,13
530100,391,275,165,20,0,50
530200,761,110,408,44,12,88
530300,914,156,360,15,0,35
530400,363,76,256,31,0,10
